Site,Plot,Area Sampled (m2),Species,BD_cm,Stem Bio (g dry wt),Branch Bio (g dry wt),New Growth Bio (g dry wt),Tot Bio CALC ALLOM (g dry wt),Tot Bio SUM COMP (g dry wt),Stem Bio (g C m-2),Branch Bio (g C m-2),New Growth Bio (g C m-2),Tot Bio CALC ALLOM (g C m-2),Tot Bio SUM COMP (g C m-2)
HBR,1,20,Betula,0.43,2.38,0.19,0.58,2.29,3.15,0.06,0.00,0.01,0.05,0.07
HBR,1,20,Betula,0.61,5.44,0.77,1.36,6.47,7.57,0.13,0.02,0.03,0.15,0.18
HBR,1,20,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.6,5.23,0.72,1.31,6.16,7.26,0.12,0.02,0.03,0.14,0.17
HBR,1,20,Betula,0.15,0.20,0.00,0.04,0.10,0.24,0.00,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.32,1.19,0.06,0.28,0.95,1.52,0.03,0.00,0.01,0.02,0.04
HBR,1,20,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.01,0.00,0.00,0.01,0.01
HBR,1,20,Betula,0.51,3.57,0.37,0.88,3.80,4.82,0.08,0.01,0.02,0.09,0.11
HBR,1,20,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.03,0.00,0.01,0.03,0.04
HBR,1,20,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.10,0.01,0.02,0.11,0.13
HBR,1,20,Betula,0.15,0.20,0.00,0.04,0.10,0.24,0.00,0.00,0.00,0.00,0.01
HBR,2,20,Betula,0.42,2.26,0.17,0.55,2.14,2.97,0.05,0.00,0.01,0.05,0.07
HBR,2,20,Betula,0.15,0.20,0.00,0.04,0.10,0.24,0.00,0.00,0.00,0.00,0.01
HBR,2,20,Betula,0.76,9.14,1.88,2.33,12.44,13.35,0.21,0.04,0.05,0.29,0.31
HBR,2,20,Betula,0.6,5.23,0.72,1.31,6.16,7.26,0.12,0.02,0.03,0.14,0.17
HBR,2,20,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.02,0.00,0.01,0.02,0.03
HBR,2,20,Betula,1.25,29.58,14.18,7.89,54.52,51.65,0.70,0.33,0.19,1.28,1.21
HBR,2,20,Betula,0.11,0.10,0.00,0.02,0.04,0.12,0.00,0.00,0.00,0.00,0.00
HBR,2,20,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.03,0.00,0.01,0.03,0.04
HBR,2,20,Betula,0.94,15.10,4.46,3.93,23.38,23.48,0.35,0.10,0.09,0.55,0.55
HBR,2,20,Betula,0.43,2.38,0.19,0.58,2.29,3.15,0.06,0.00,0.01,0.05,0.07
HBR,2,20,Betula,1.3,32.45,16.63,8.69,61.25,57.77,0.76,0.39,0.20,1.44,1.36
HBR,2,20,Betula,0.92,14.35,4.08,3.73,21.94,22.16,0.34,0.10,0.09,0.52,0.52
HBR,2,20,Betula,1.54,48.40,33.07,13.16,101.31,94.64,1.14,0.78,0.31,2.38,2.22
HBR,2,20,Betula,0.95,15.48,4.65,4.03,24.13,24.16,0.36,0.11,0.09,0.57,0.57
HBR,2,20,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.04,0.00,0.01,0.04,0.05
HBR,2,20,Betula,1.53,47.66,32.21,12.95,99.37,92.83,1.12,0.76,0.30,2.34,2.18
HBR,2,20,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.02,0.00,0.00,0.01,0.02
HBR,2,20,Betula,0.1,0.08,0.00,0.02,0.03,0.09,0.00,0.00,0.00,0.00,0.00
HBR,2,20,Betula,0.18,0.31,0.01,0.07,0.17,0.38,0.01,0.00,0.00,0.00,0.01
HBR,2,20,Betula,1.19,26.34,11.61,7.00,47.11,44.95,0.62,0.27,0.16,1.11,1.06
HBR,2,20,Betula,0.78,9.72,2.09,2.49,13.43,14.30,0.23,0.05,0.06,0.32,0.34
HBR,2,20,Betula,0.82,10.94,2.56,2.81,15.59,16.31,0.26,0.06,0.07,0.37,0.38
HBR,2,20,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.02,0.00,0.00,0.01,0.02
HBR,2,20,Betula,0.77,9.43,1.98,2.41,12.93,13.82,0.22,0.05,0.06,0.30,0.32
HBR,2,20,Betula,1.84,73.67,68.13,20.36,171.88,162.15,1.73,1.60,0.48,4.04,3.81
HBR,2,20,Betula,0.64,6.09,0.94,1.53,7.47,8.56,0.14,0.02,0.04,0.18,0.20
HBR,2,20,Betula,0.23,0.54,0.01,0.12,0.36,0.68,0.01,0.00,0.00,0.01,0.02
HBR,3,20,Betula,0.83,11.25,2.69,2.90,16.16,16.84,0.26,0.06,0.07,0.38,0.40
HBR,3,20,Betula,1.43,40.63,24.48,10.98,81.29,76.09,0.95,0.58,0.26,1.91,1.79
HBR,3,20,Betula,0.83,11.25,2.69,2.90,16.16,16.84,0.26,0.06,0.07,0.38,0.40
HBR,3,20,Betula,0.32,1.19,0.06,0.28,0.95,1.52,0.03,0.00,0.01,0.02,0.04
HBR,3,20,Betula,1,17.47,5.73,4.57,28.10,27.77,0.41,0.13,0.11,0.66,0.65
HBR,3,20,Betula,0.39,1.89,0.13,0.46,1.71,2.47,0.04,0.00,0.01,0.04,0.06
HBR,3,20,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.02,0.00,0.00,0.01,0.02
HBR,3,20,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.02,0.00,0.00,0.01,0.02
HBR,3,20,Betula,0.11,0.10,0.00,0.02,0.04,0.12,0.00,0.00,0.00,0.00,0.00
HBR,3,20,Betula,0.15,0.20,0.00,0.04,0.10,0.24,0.00,0.00,0.00,0.00,0.01
LBR,1,10,Betula,0.82,10.94,2.56,2.81,15.59,16.31,0.51,0.12,0.13,0.73,0.77
LBR,1,10,Betula,0.32,1.19,0.06,0.28,0.95,1.52,0.06,0.00,0.01,0.04,0.07
LBR,1,10,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.06,0.00,0.02,0.05,0.08
LBR,1,10,Betula,0.69,7.28,1.27,1.84,9.33,10.39,0.34,0.06,0.09,0.44,0.49
LBR,1,10,Betula,0.58,4.83,0.63,1.20,5.57,6.66,0.23,0.03,0.06,0.26,0.31
LBR,1,10,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.12,0.01,0.03,0.12,0.17
LBR,1,10,Betula,1.94,83.47,84.46,23.18,201.13,191.10,3.92,3.97,1.09,9.45,8.98
LBR,1,10,Betula,0.46,2.80,0.24,0.68,2.80,3.72,0.13,0.01,0.03,0.13,0.17
LBR,1,10,Betula,0.86,12.24,3.11,3.16,17.95,18.50,0.58,0.15,0.15,0.84,0.87
LBR,1,10,Betula,0.63,5.87,0.88,1.47,7.12,8.22,0.28,0.04,0.07,0.33,0.39
LBR,1,10,Betula,1.53,47.66,32.21,12.95,99.37,92.83,2.24,1.51,0.61,4.67,4.36
LBR,1,10,Betula,0.6,5.23,0.72,1.31,6.16,7.26,0.25,0.03,0.06,0.29,0.34
LBR,1,10,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.19,0.02,0.05,0.21,0.26
LBR,1,10,Betula,0.75,8.86,1.78,2.26,11.96,12.90,0.42,0.08,0.11,0.56,0.61
LBR,1,10,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.05,0.00,0.01,0.04,0.06
LBR,1,10,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.03,0.00,0.01,0.02,0.04
LBR,1,10,Betula,0.32,1.19,0.06,0.28,0.95,1.52,0.06,0.00,0.01,0.04,0.07
LBR,1,10,Betula,0.95,15.48,4.65,4.03,24.13,24.16,0.73,0.22,0.19,1.13,1.14
LBR,1,10,Betula,0.88,12.92,3.41,3.34,19.22,19.67,0.61,0.16,0.16,0.90,0.92
LBR,1,10,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.12,0.01,0.03,0.12,0.16
